name,git,cloned
gcp,https://github.com/petronny/gcp,False
nnn,https://github.com/jarun/nnn,False
PathPicker,https://github.com/facebook/pathpicker/,False
tree,https://gitlab.com/OldManProgrammer/unix-tree,False
asciicquarium,https://github.com/rgoring/asciiquarium,False
cmatrix,https://github.com/abishekvashok/cmatrix,False
cowsay,https://github.com/tnalpgge/rank-amateur-cowsay,False
cowthink,https://github.com/tnalpgge/rank-amateur-cowsay,False
fortune,https://github.com/bmc/fortune,False
Steam Locomotive,https://github.com/mtoyoda/sl,False
ternimal,https://github.com/p-e-w/ternimal,False
StarWars vision,,False
bastet,https://github.com/fph/bastet/,False
Cataclysm: Dark Days Ahead,https://github.com/CleverRaven/Cataclysm-DDA,False
Dwarf fortress,,False
freesweep,,False
Nethack,https://github.com/NetHack/NetHack,False
Oldrunner,https://github.com/culot/oldrunner,False
Slash'EM,https://sourceforge.net/projects/slashem/,False
Typespeed,https://sourceforge.net/projects/typespeed/,False
Hugo,https://github.com/gohugoio/hugo,False
Metalsmith,https://github.com/metalsmith/metalsmith,False
nanoc,https://github.com/nanoc/nanoc,False
siege,https://github.com/JoeDog/siege,False
Tsung,https://github.com/processone/tsung,False
Links,,False
Elinks,https://repo.or.cz/w/elinks.git,False
Lynx,,False
w3m,https://sourceforge.net/projects/w3m/,False
Newsbeuter,,False
alpine,,False
alot,https://github.com/pazz/alot,False
mbsync,,False
Mutt,https://gitlab.com/muttmua/mutt,False
sup,https://github.com/sup-heliotrope/sup,False
aria2,https://github.com/aria2/aria2,False
croc,https://github.com/schollz/croc,False
curl,https://github.com/curl/curl,False
Deluge,https://git.deluge-torrent.org/deluge,False
lftp,https://github.com/lavv17/lftp,False
Magic Wormhole,https://github.com/warner/magic-wormhole,False
OnionShare,https://github.com/onionshare/onionshare,False
qrcp,https://github.com/claudiodangelis/qrcp,False
rsync,https://github.com/WayneD/rsync,False
sitecopy,,False
stftp,https://sourceforge.net/projects/stftp/,False
Woof,https://github.com/simon-budig/woof/,False
youtube-dl,http://rg3.github.io/youtube-dl/,False
finch,,False
irssi,https://github.com/irssi/irssi,False
RainbowStream,,False
WeeChat,https://github.com/weechat/weechat,False
ssh-chat,https://github.com/shazow/ssh-chat,False
goobook,https://gitlab.com/goobook/goobook,False
dasht,https://github.com/sunaku/dasht,False
arch-wiki,https://github.com/deadhead420/arch-wiki,False
googler,https://github.com/jarun/googler,False
lolcat,https://github.com/busyloop/lolcat,False
neofetch,https://github.com/dylanaraps/neofetch,False
pdd,https://github.com/jarun/pdd,False
powerline,https://github.com/powerline/powerline,False
socli,https://github.com/gautamkrishnar/socli,False
termsaver,,False
dateutils,https://github.com/hroptatyr/dateutils,False
VisiData,https://github.com/saulpw/visidata,False
csvkit,https://github.com/wireservice/csvkit,False
gdb-dashboard,https://github.com/cyrus-and/gdb-dashboard,False
hide,https://github.com/whatl3y/hide,False
